"Date","Open","High","Low","Close Close price adjusted for splits.","Adj Close Adjusted close price adjusted for splits and dividend and/or capital gain distributions.","Volume"
"Feb 1, 2019","822.60","873.50","782.70","873.00","873.00","83"
"Jan 1, 2019","791.90","825.40","786.50","820.50","820.50","785"
"Dec 1, 2018","808.90","808.90","780.30","795.90","795.90","13,668"
"Nov 1, 2018","858.30","875.10","798.00","798.00","798.00","6"
"Oct 1, 2018","812.00","845.30","809.50","839.40","839.40","310"
"Sep 1, 2018","777.00","833.10","777.00","818.70","818.70","22,209"
"Aug 1, 2018","812.40","832.10","768.70","785.90","785.90","30"
"Jun 1, 2018","904.70","908.90","844.10","852.40","852.40","20,418"
"May 1, 2018","888.80","922.40","883.40","908.10","908.10","18"
"Mar 1, 2018","956.30","969.10","927.30","927.30","927.30","22,348"
"Feb 1, 2018","1,004.80","1,009.30","958.50","986.60","986.60","108"
"Jan 1, 2018","937.90","1,029.30","937.90","1,001.30","1,001.30","602"
"Dec 1, 2017","939.40","939.40","874.50","934.20","934.20","11,822"
"Nov 1, 2017","933.00","951.40","918.50","941.30","941.30","53"
"Sep 1, 2017","1,007.30","1,015.30","910.30","910.30","910.30","18,041"
"Aug 1, 2017","946.50","1,000.70","946.50","996.80","996.80","46"
"Jul 1, 2017","929.30","937.70","890.30","937.70","937.70","399"
"Jun 1, 2017","925.00","962.10","909.60","923.70","923.70","18,346"
"May 1, 2017","929.80","961.30","898.40","948.50","948.50","28"
"Apr 1, 2017","953.10","987.50","937.50","946.30","946.30","346"
"Mar 1, 2017","1,027.40","1,027.40","935.60","948.20","948.20","16,466"
"Feb 1, 2017","996.30","1,043.70","996.10","1,029.50","1,029.50","92"
"Dec 1, 2016","909.60","942.40","892.40","901.60","901.60","13,382"
"Nov 1, 2016","995.10","1,005.80","906.80","908.10","908.10","119"
"Oct 1, 2016","1,024.50","1,024.50","926.00","975.80","975.80","899"
"Sep 1, 2016","1,046.20","1,100.20","1,016.00","1,028.60","1,028.60","16,808"
"Aug 1, 2016","1,159.60","1,180.60","1,050.80","1,050.80","1,050.80","42"
"Jul 1, 2016","1,025.90","1,150.60","1,024.80","1,147.30","1,147.30","575"
"Jun 1, 2016","970.20","1,027.10","958.40","1,021.50","1,021.50","17,095"
"Apr 1, 2016","977.30","1,077.90","941.70","1,077.90","1,077.90","821"
"Mar 1, 2016","936.10","1,001.50","931.70","976.60","976.60","15,306"
"Feb 1, 2016","868.80","962.40","854.40","933.70","933.70","38"
"Jan 1, 2016","890.60","897.00","812.20","872.30","872.30","1,048"
"Dec 1, 2015","835.50","893.50","832.40","891.70","891.70","11,387"
"Oct 1, 2015","910.50","1,021.90","897.10","988.60","988.60","962"
"Sep 1, 2015","1,007.60","1,014.00","899.50","907.20","907.20","19,207"
"Aug 1, 2015","980.00","1,034.00","950.50","1,010.10","1,010.10","20"
"Jul 1, 2015","1,085.20","1,089.00","970.00","984.00","984.00","644"
"Jun 1, 2015","1,109.20","1,114.70","1,060.30","1,078.60","1,078.60","16,584"
"May 1, 2015","1,129.00","1,177.40","1,111.00","1,111.00","1,111.00","34"
"Apr 1, 2015","1,141.00","1,185.00","1,120.40","1,139.90","1,139.90","375"
"Jan 1, 2015","1,209.90","1,288.90","1,187.70","1,239.20","1,239.20","1,071"
"Dec 1, 2014","1,240.70","1,246.30","1,181.70","1,208.90","1,208.90","9,225"
"Nov 1, 2014","1,243.70","1,243.70","1,198.00","1,210.40","1,210.40","38"
"Oct 1, 2014","1,293.60","1,304.10","1,191.00","1,236.20","1,236.20","1,835"
"Sep 1, 2014","1,421.40","1,421.40","1,297.10","1,298.50","1,298.50","19,886"
"Aug 1, 2014","1,463.80","1,483.00","1,419.30","1,426.70","1,426.70","35"
