"Date","Open","High","Low","Close Close price adjusted for splits.","Adj Close Adjusted close price adjusted for splits and dividend and/or capital gain distributions.","Volume"
"Feb 1, 2017","762.95","793.35","749.05","770.70","770.70","6,466"
"Dec 1, 2016","775.70","775.70","655.35","682.65","682.65","230"
"Nov 1, 2016","633.55","774.75","617.05","771.65","771.65","5,345"
"Oct 1, 2016","710.75","710.75","612.15","617.45","617.45","3"
"Sep 1, 2016","674.00","720.50","656.10","720.50","720.50","153"
"Aug 1, 2016","714.95","725.15","668.30","668.70","668.70","3,640"
"Jul 1, 2016","606.15","708.45","592.70","708.45","708.45","13"
"Jun 1, 2016","547.80","598.15","530.55","598.15","598.15","205"
"Apr 1, 2016","558.00","627.90","535.30","627.90","627.90","28"
"Mar 1, 2016","501.00","607.05","500.80","563.05","563.05","371"
"Feb 1, 2016","501.60","527.25","480.65","495.60","495.60","6,569"
"Jan 1, 2016","542.95","542.95","469.90","497.50","497.50","41"
"Dec 1, 2015","543.00","572.70","525.25","560.80","560.80","299"
"Oct 1, 2015","679.40","706.80","670.60","677.05","677.05","6"
"Sep 1, 2015","595.00","671.65","569.05","651.00","651.00","150"
"Aug 1, 2015","616.55","622.95","528.00","601.55","601.55","7,457"
"Jul 1, 2015","700.20","700.20","604.00","610.35","610.35","6"
"Jun 1, 2015","777.60","777.70","665.45","671.65","671.65","347"
"May 1, 2015","773.75","802.35","771.40","776.75","776.75","9,082"
"Apr 1, 2015","748.55","784.75","746.00","776.50","776.50","2"
"Jan 1, 2015","794.85","815.70","754.30","772.70","772.70","27"
"Dec 1, 2014","805.50","830.10","779.25","798.40","798.40","372"
"Nov 1, 2014","804.05","814.55","752.25","812.40","812.40","11,787"
"Oct 1, 2014","783.70","800.35","745.15","791.45","791.45","356"
"Sep 1, 2014","908.00","912.00","774.95","774.95","774.95","385"
"Aug 1, 2014","865.50","909.75","840.15","908.65","908.65","9,967"
"Jul 1, 2014","855.00","884.30","855.00","874.65","874.65","18"
"May 1, 2014","814.30","840.15","796.85","835.65","835.65","13,831"
"Apr 1, 2014","780.10","812.65","767.90","812.65","812.65","12"
"Mar 1, 2014","747.50","802.55","745.70","777.50","777.50","412"
"Feb 1, 2014","702.50","746.95","699.90","743.85","743.85","8,893"
"Jan 1, 2014","729.35","747.95","703.00","703.00","703.00","-"
"Nov 1, 2013","737.70","763.80","713.10","718.00","718.00","9,737"
"Oct 1, 2013","717.90","751.90","699.20","736.25","736.25","-"
"Aug 1, 2013","730.95","762.15","719.65","722.10","722.10","9,248"
"Jul 1, 2013","684.90","749.55","675.95","725.45","725.45","9"
"Jun 1, 2013","752.90","768.40","631.70","659.20","659.20","417"
"May 1, 2013","683.65","761.00","679.50","751.05","751.05","9,624"
"Apr 1, 2013","782.80","782.80","660.25","696.70","696.70","16"
"Mar 1, 2013","726.00","785.00","711.85","767.10","767.10","433"
"Feb 1, 2013","756.00","771.65","724.95","732.60","732.60","12,999"
"Jan 1, 2013","707.25","751.00","667.10","745.30","745.30","4"
"Dec 1, 2012","681.50","717.20","673.40","702.65","702.65","334"
"Nov 1, 2012","611.65","691.35","598.85","686.25","686.25","10,637"
"Oct 1, 2012","644.45","673.10","588.25","609.00","609.00","7"
"Sep 1, 2012","626.80","704.30","624.70","639.65","639.65","554"
"Aug 1, 2012","581.80","656.00","567.05","627.95","627.95","5,751"
"Jun 1, 2012","605.65","634.10","561.20","583.05","583.05","451"
"May 1, 2012","680.45","680.45","587.40","612.10","612.10","14,428"
"Mar 1, 2012","715.00","719.60","643.60","653.15","653.15","435"
"Feb 1, 2012","696.30","721.95","683.25","706.65","706.65","9,429"
"Dec 1, 2011","616.05","684.65","611.10","655.60","655.60","414"
"Nov 1, 2011","634.90","677.15","569.95","610.00","610.00","6,225"
"Oct 1, 2011","593.25","669.75","536.65","651.05","651.05","113"
"Sep 1, 2011","783.35","788.20","614.05","614.05","614.05","415"
